Protein IDs	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10
CON__P34955	1729	1730.7	2269.8	3159	2574.2	3912.7	6205.2	4895.3	3469.7	121700	1729	1730.7	2269.8	3159	2574.2	3912.7	6205.2	4895.3	3469.7	121700
CON__P35908;CON__Q9R0H5;CON__Q6NXH9	106.16	0	33.873	134.73	109.96	106.68	773.36	0	113.63	277.99	106.16	0	33.873	134.73	109.96	106.68	773.36	0	113.63	277.99
CON__P35908v2;P35908	20236	16781	42561	38781	38928	95980	521980	9733.8	81252	103830	20236	16781	42561	38781	38928	95980	521980	9733.8	81252	103830
CON__P48668;P48668	311.29	316.49	1942.1	538.45	467.94	4024.5	1793	209.52	1052.2	2594.5	311.29	316.49	1942.1	538.45	467.94	4024.5	1793	209.52	1052.2	2594.5
CON__Q6NT21;CON__P78385;CON__P78386;P78385;P78386;CON__O43790;CON__Q14533;O43790;CON__Q61726;A6NCN2;Q14533	3157.8	711.91	782.9	604.01	1128.5	607.62	2921.2	198.3	654.87	3401.6	3157.8	711.91	782.9	604.01	1128.5	607.62	2921.2	198.3	654.87	3401.6
CON__P81644	62.443	42.056	100.24	123.48	97.788	156.26	229.85	131.93	108.7	1936.5	62.443	42.056	100.24	123.48	97.788	156.26	229.85	131.93	108.7	1936.5
CON__Q04695;Q04695	1263.4	1099.9	5605.4	3460	1617.8	16659	4887.7	626.16	2217.9	6182.5	1263.4	1099.9	5605.4	3460	1617.8	16659	4887.7	626.16	2217.9	6182.5
CON__Q0IIK2;CON__Q29443;CON__Q2HJF0;P02787;P02788	2390.3	2181.5	2777.7	4247.6	2918.4	6710.4	8321.6	4203.9	3876.8	114000	2390.3	2181.5	2777.7	4247.6	2918.4	6710.4	8321.6	4203.9	3876.8	114000
CON__Q0VBK2;CON__Q6KB66-1;Q6KB66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CON__Q14CN4-1;CON__Q6IME9;Q14CN4;CON__Q3SY84;CON__Q7RTS7;CON__Q32MB2;Q3SY84;Q7RTS7;Q86Y46	202.61	281.3	335.91	440.87	312.96	655.76	1351.2	63.98	784.46	3064.2	202.61	281.3	335.91	440.87	312.96	655.76	1351.2	63.98	784.46	3064.2
CON__Q2KJF1	255.12	62.338	336.61	553.08	210.25	606.71	1027.2	142.66	418.76	4970.6	255.12	62.338	336.61	553.08	210.25	606.71	1027.2	142.66	418.76	4970.6
CON__Q3SZ57;P02771	586	581.91	649.54	1059.5	790.99	1647.8	2062.7	1150.5	1134.7	35132	586	581.91	649.54	1059.5	790.99	1647.8	2062.7	1150.5	1134.7	35132
CON__Q3SZR3	177.12	256.92	234.94	448.07	299.6	583.85	1450.6	330.34	422.97	12352	177.12	256.92	234.94	448.07	299.6	583.85	1450.6	330.34	422.97	12352
CON__Q3T052;Q14624	108.92	113.49	137.69	178.47	198.27	252.88	313.7	126.03	196.53	3019	108.92	113.49	137.69	178.47	198.27	252.88	313.7	126.03	196.53	3019
CON__Q3TTY5	543.7	590.26	587.56	447.28	654.87	360.64	1546.4	49.391	322.76	768.06	543.7	590.26	587.56	447.28	654.87	360.64	1546.4	49.391	322.76	768.06
CON__Q58D62	287.13	380.08	413.71	820.15	452.6	873.66	1771.8	310.11	707.56	11551	287.13	380.08	413.71	820.15	452.6	873.66	1771.8	310.11	707.56	11551
CON__Q7RTT2;CON__Q8N1N4-2;Q8N1N4	644.18	548.63	1503.4	1159.3	1352.5	1702.1	10038	245.14	1423.9	6895.1	644.18	548.63	1503.4	1159.3	1352.5	1702.1	10038	245.14	1423.9	6895.1
