Protein IDs	Reporter intensity corrected 1 PNNL SC boost0ng_run2	Reporter intensity corrected 2 PNNL SC boost0ng_run2	Reporter intensity corrected 3 PNNL SC boost0ng_run2	Reporter intensity corrected 4 PNNL SC boost0ng_run2	Reporter intensity corrected 5 PNNL SC boost0ng_run2	Reporter intensity corrected 6 PNNL SC boost0ng_run2	Reporter intensity corrected 7 PNNL SC boost0ng_run2	Reporter intensity corrected 8 PNNL SC boost0ng_run2	Reporter intensity corrected 9 PNNL SC boost0ng_run2	Reporter intensity corrected 10 PNNL SC boost0ng_run2	Reporter intensity 1 PNNL SC boost0ng_run2	Reporter intensity 2 PNNL SC boost0ng_run2	Reporter intensity 3 PNNL SC boost0ng_run2	Reporter intensity 4 PNNL SC boost0ng_run2	Reporter intensity 5 PNNL SC boost0ng_run2	Reporter intensity 6 PNNL SC boost0ng_run2	Reporter intensity 7 PNNL SC boost0ng_run2	Reporter intensity 8 PNNL SC boost0ng_run2	Reporter intensity 9 PNNL SC boost0ng_run2	Reporter intensity 10 PNNL SC boost0ng_run2
Q99832	1982.8	1312.4	2892.1	2571	2450.6	1191.9	4076.4	4349.4	3966.1	730.14	1982.8	1312.4	2892.1	2571	2450.6	1191.9	4076.4	4349.4	3966.1	730.14
Q99880;Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;P57053;O60814;Q16778;P33778;P23527;P06899;Q8N257;Q96A08	276170	250410	299000	415510	408970	256440	727650	279520	302930	165530	276170	250410	299000	415510	408970	256440	727650	279520	302930	165530
Q9BRS2	11963	5877.7	15274	10934	8124.5	10967	24915	21795	36893	2213	11963	5877.7	15274	10934	8124.5	10967	24915	21795	36893	2213
Q9BVG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9C0C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9HCI5	5907.5	8097	5050.4	5646.8	4382.7	3236.9	9180.9	10281	8991.1	12807	5907.5	8097	5050.4	5646.8	4382.7	3236.9	9180.9	10281	8991.1	12807
Q9UQ80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9Y6X6	15528	10369	11369	6951.7	6944.8	5051.7	8743.7	7642.1	9012.8	788.4	15528	10369	11369	6951.7	6944.8	5051.7	8743.7	7642.1	9012.8	788.4
REV__A6NIV6	13602	4965.5	7446.8	5307.6	3336.9	4557.9	17805	29457	19172	2212.5	13602	4965.5	7446.8	5307.6	3336.9	4557.9	17805	29457	19172	2212.5
REV__Q8NCU4	76018	71712	75529	93269	85328	87588	103840	90484	110170	5489.3	76018	71712	75529	93269	85328	87588	103840	90484	110170	5489.3
